"DateTime","Players","Players Trend","Twitch Viewers"
"2021-12-03 21:40:00",2172,5683.26747121688,655
"2021-12-03 21:50:00",2139,5682.617783800567,622
"2021-12-03 22:00:00",2107,5682.016859148222,946
"2021-12-03 22:10:00",2074,5681.154225758508,865
"2021-12-03 22:20:00",2049,5680.133046985242,825
"2021-12-03 22:30:00",2030,5679.1936126260125,801
"2021-12-03 22:40:00",1970,5678.322232719993,765
"2021-12-03 22:50:00",1975,5677.662530098523,749
"2021-12-03 23:00:00",1985,5676.822077158964,721
"2021-12-03 23:10:00",1993,5675.833053758901,807
"2021-12-03 23:20:00",1979,5674.435270653987,859
"2021-12-03 23:30:00",1971,5673.019689713264,867
"2021-12-03 23:40:00",2011,5671.662421992431,814
"2021-12-03 23:50:00",2028,5670.024174037642,811
"2021-12-04 00:00:00",2067,5668.6603185786325,879
"2021-12-04 00:10:00",2122,5667.2507304458,918
"2021-12-04 00:20:00",2160,5665.708598322308,953
"2021-12-04 00:30:00",2222,5664.124508186823,1007
"2021-12-04 00:40:00",2295,5662.641367817992,993
"2021-12-04 00:50:00",2362,5660.98807249722,1068
"2021-12-04 01:00:00",2414,5659.484316641878,862
"2021-12-04 01:10:00",2494,5658.176338189212,897
"2021-12-04 01:20:00",2602,5657.025447629576,947
"2021-12-04 01:30:00",2723,5655.718192031016,952
"2021-12-04 01:40:00",2825,5654.362961645014,942
"2021-12-04 01:50:00",2945,5653.4706267559095,948
"2021-12-04 02:00:00",3050,5652.603255266742,987
"2021-12-04 02:10:00",3249,5651.833181057036,963
"2021-12-04 02:20:00",3357,5650.334798741946,1035
"2021-12-04 02:30:00",3483,5648.645018633606,1041
"2021-12-04 02:40:00",3529,5646.796402798437,1076
"2021-12-04 02:50:00",3691,5644.846318853362,1122
"2021-12-04 03:00:00",3826,5642.619451831154,1128
"2021-12-04 03:10:00",3946,5640.336130671252,1175
"2021-12-04 03:20:00",4110,5638.271179427604,1223
"2021-12-04 03:30:00",4279,5637.217793431757,1271
"2021-12-04 03:40:00",4373,5635.485290472165,1332
"2021-12-04 03:50:00",4483,5634.293760336413,1310
"2021-12-04 04:00:00",4626,5633.328569478276,1283
"2021-12-04 04:10:00",4759,5632.435765294556,1379
"2021-12-04 04:20:00",4896,5631.875952026821,1345
"2021-12-04 04:30:00",5054,5631.878777143689,1346
"2021-12-04 04:40:00",5205,5631.55515054742,1455
"2021-12-04 04:50:00",5338,5631.781271560617,1473
"2021-12-04 05:00:00",5424,5632.307411309425,1477
"2021-12-04 05:10:00",5488,5633.381310940341,1631
"2021-12-04 05:20:00",5628,5634.834517710571,1612
"2021-12-04 05:30:00",5805,5636.753618547898,1464
"2021-12-04 05:40:00",5969,5638.4174034594835,1562
"2021-12-04 05:50:00",6113,5640.008548862448,1628
"2021-12-04 06:00:00",6257,5641.34391698342,1585
